"AxcR1","AxcR2"
"F22031-1",-0.673088021946923,0.635793793774148
"F22031-2",-0.673088021946923,0.635793793774148
"F22031-3",-0.673088021946923,0.635793793774148
"F30658-1",0.00104890016093545,-1.57172656866234
"F30658-2",0.00104890016093545,-1.57172656866234
"F30658-3",0.00104890016093545,-1.57172656866234
"F34365-1",-0.673088021946923,0.635793793774148
"F34365-2",-0.673088021946923,0.635793793774148
"F34365-3",-0.673088021946923,0.635793793774148
"M1608-1",2.0879962672733,0.637636418193092
"M1608-2",2.0879962672733,0.637636418193092
"M1608-3",2.0879962672733,0.637636418193092
"M37351-1",0.00104890016093545,-1.57172656866234
"M37351-2",0.00104890016093545,-1.57172656866234
"M37351-3",0.00104890016093545,-1.57172656866234
"UCBPP-PA14-1",-0.673088021946923,0.635793793774148
"UCBPP-PA14-2",-0.673088021946923,0.635793793774148
"UCBPP-PA14-3",-0.673088021946923,0.635793793774148
"W16407-1",0.00104890016093545,-1.57172656866234
"W16407-2",0.00104890016093545,-1.57172656866234
"W16407-3",0.00104890016093545,-1.57172656866234
"W25637-1",-0.673088021946923,0.635793793774148
"W25637-2",-0.673088021946923,0.635793793774148
"W25637-3",-0.673088021946923,0.635793793774148
"W36662-1",2.0879962672733,0.637636418193092
"W36662-2",2.0879962672733,0.637636418193092
"W36662-3",2.0879962672733,0.637636418193092
"W91453-1",-0.673088021946923,0.635793793774148
"W91453-2",-0.673088021946923,0.635793793774148
"W91453-3",-0.673088021946923,0.635793793774148
"X9820-1",-0.673088021946923,0.635793793774148
"X9820-2",-0.673088021946923,0.635793793774148
"X9820-3",-0.673088021946923,0.635793793774148
