Row,Phase1,Phase2,Phase3
F22031,3.3,20.6,36.7
F23197,12.8,32.5,43.6
F30658,4.4,22.2,28.4
F34365,4.4,21.5,36.3
F5677,15.4,47.9,48
F63912,4.4,25.6,32.3
F9670,5,23.5,38.6
H27930,4.7,19.6,37.5
H47921,9,24.1,38
H5708,4.4,28.3,32.8
M1608,3.7,27.7,43.5
M37351,8.5,36.3,38.5
M55212,13.9,41,45.5
M6057,3,26.7,28.7
M74707,10.8,22.7,47.6
PA14,3.9,20.2,37.9
PA7,9.4,35.1,37.8
PAO1,5.3,25.9,36.9
S86968,4.4,31.6,33.8
T38079,5.1,23.6,30.3
T52373,11.7,25.9,43.1
T6313,5.7,24.9,44.5
T63266,2.8,22.8,28.6
W16407,4,22.5,38.1
W25637,11,26.4,29.3
W36662,10.5,32.9,35.2
W45909,3,22.7,36.4
W60856,10.1,32.8,35.2
W70332,4.1,33.8,36.1
W91453,9.1,23.5,41
X78812,3.5,23.1,36.9
X9820,3,18.8,36.5
